round,started_on,discussed_on,participant,tmdb_id,title,year,notes
1,2022-02-19,2022-03-19,Ryan,,Heat,1995,
1,2022-02-19,2022-03-19,Dad,,Fargo,1996,
1,2022-02-19,2022-03-19,Mom,,The Big Lebowski,1998,
2,2022-03-20,2022-04-23,Ryan,,Ronin,1998,
2,2022-03-20,2022-04-23,Dad,,No Country for Old Men,2007,
2,2022-03-20,2022-04-23,Mom,,Little Miss Sunshine,2006,
3,2022-04-24,2022-05-28,Ryan,,Drive,2011,fourth member joins here
3,2022-04-24,2022-05-28,Dad,,Michael Clayton,2007,
3,2022-04-24,2022-05-28,Mom,,Amelie,2001,
3,2022-04-24,2022-05-28,Sister,,Whiplash,2014,
